character_id,canonical_name,japanese_name,romanized_name,official_english_name,origin,residence,debut_episodes_id,debut_manga_id,affiliations,status,age_at_death,height_cm,blood_type,devil_fruit,devil_fruit_type,birthday,liveaction_portrayal,name_meaning
367,Roshu,ロシュ,Roshu,Roshu,,,275.0,391.0,Ohara Archaeologists,Deceased,,,,,,,,
368,Rodo,ロード,Rōdo,Rodo,,Elbaf,836.0,898.0,"Straw Hat Grand Fleet (New Giant Warrior Pirates), Buggy's Delivery (former)",Alive,,,,,,February 19th,,
369,Rob Lucci,"Neko Neko no Mi, Model: Leopard",Robu Rutchi,Rob Lucci,Grand Line,Guanhao (former),230.0,323.0,CP0; CP9 (former); Galley-La Company (former),Alive,,212.0,XF,Cat-Cat Fruit Leopard Model,Zoan,June 2nd,,Cat
370,Rivers,リヴァーズ,Rivāzu,Rivers,,,146.0,223.0,Bellamy Pirates,Unknown,,,,,,,,
371,Risky Brothers,リスキー兄弟,Risukī Kyōdai,Risky Brothers,,,369.0,475.0,Rolling Pirates; Thriller Bark Victim's Association,Alive,,,,,,,,
372,Robson,ロブソン,Robuson,Robson,,,81.0,135.0,Drum Kingdom (former); Bliking Pirates (disbanded),Unknown,,,,,,,,
373,Lint,リント,Rinto,Lint,,,275.0,391.0,Ohara Archaeologists,Deceased,,,,,,,,
374,Ripper,リッパー,Rippā,Ripper,East Blue,Shells Town,3.0,7.0,"Marines, Marine 153rd Branch",Alive,,,,,,June 13th,,
375,Riku Doldo III,リク・ドルド3世,Riku Dorudo Sansei,Riku Doldo III,Grand Line (Dressrosa),Dressrosa,636.0,706.0,Riku Family,Alive,,261.0,S,,,June 27th,,
376,Rika,リカ,Rika,Rika,East Blue,Shells Town,2.0,3.0,Marine 153rd Branch,Alive,,,,,,June 18th,Kamdynn Gary,
377,Ririka,リリカ,Ririka,Ririka,East Blue,Shells Town,2.0,4.0,,Alive,,,,,,November 15th,Nicole Fortuin,
378,Reuder,ロイダー,Roidā,Reuder,,,459.0,550.0,,Alive,,,,,,,,
379,Rindo,リンドウ,Rindō,Rindo,Calm Belt (Amazon Lily),Amazon Lily,410.0,516.0,Kuja; Kuja Pirates,Alive,,,,,,September 16th,,
380,Red King,レッドキング,Reddokingu,Red King,,,,1078.0,Marines,Alive,,,,,,,,
381,Reforte,リフォルト,Riforuto,Reforte,,,465.0,556.0,Whitebeard Pirates,Alive,,,,,,,,
382,Richie,リッチー,Ritchī,Richie,,Karai Bari Island,6.0,9.0,Cross Guild; Buggy Pirates,Alive,,,,,,July 23rd,,
383,Rebecca,レベッカ,Rebekka,Rebecca,Grand Line (Dressrosa),Dressrosa,633.0,704.0,Dressrosa; Corrida Colosseum,Alive,,171.0,S,,,August 4th,,
384,Recycollie,リサイクルワン,Risaikuruwan,Recycollie,,Egghead,1092.0,1063.0,Vegapunk,Alive,,,,,,,,
385,Langram,ラングラム,Ranguramu,Langram,,,,966.0,Roger Pirates,Unknown,,,,,,,,
386,Wreck,レック,Rekku,Wreck,,,1065.0,1038.0,Kid Pirates,Unknown,,,,,,,,
387,Ran,ラン,Ran,Ran,Calm Belt (Amazon Lily),Amazon Lily,410.0,516.0,Kuja; Kuja Pirates,Alive,,,,,,November 24th,,
388,Randolph,ランドルフ,Randorufu,Randolph,,,786.0,827.0,Big Mom Pirates,Alive,,,,,,,,
389,Rāmen,ラーメン,Rāmen,,,Kano Country,777.0,823.0,Happo Navy,Alive,,,,,,,,
390,Rampo,ランポー,Ranpō,Rampo,,,641.0,711.0,Tontatta Kingdom; Tontatta Pirates; Straw Hat Grand Fleet,Alive,,,,,,,,
391,Ratel,ラーテル,Rāteru,Ratel,,,,1073.0,Marines,Alive,,,,,,,,
392,Ramba,ランバ,Ranba,Ramba,,,460.0,551.0,Subordinate of the Whitebeard Pirates,Alive,,,,,,July 10th,,
393,Rakuyo,ラクヨウ,Rakuyō,Rakuyo,South Blue,,461.0,553.0,Whitebeard Pirates,Alive,,,,,,September 8th,,
394,Raki,ラキ,Raki,Raki (Viz);Laki (FUNimation),Sky Islands (Skypiea),,163.0,249.0,Shandia; Pumpkin Cafe,Alive,,179.0,S,,,July 7th,,
395,Rakuda,らくだ,Rakuda,Rakuda,,Wano Country (Flower Capital),922.0,929.0,,Alive,,,,,,,,
396,Raizo,Maki Maki no Mi,Raizō,Raizo,Grand Line (Wano Country),Wano Country ,768.0,817.0,Kozuki Family; Nine Red Scabbards; Ninja-Pirate-Mink-Samurai Alliance,Alive,,311.0,X,Scrolling Jutsu,Paramecia,February 26th,,Scroll
397,Raccoon,ラクーン,Rakūn,Raccoon,,,,,His crew,Unknown,,,,,,,,
398,Rabiyan,ラビヤン,Rabiyan,RabianRabiyan (OPCG),,,786.0,827.0,Big Mom Pirates; Cacao Island,Alive,,,,,,,,
399,Raijin,雷刃,Raijin,Raijin,Wano Country,"Flower Capital, Wano Country",925.0,931.0,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Alive,,200.0,X,,,June 4th,,
400,Rabittoman,SMILE,Rabittoman,,,,904.0,916.0,Beasts Pirates,Alive,,,,Rabbit SMILE,Artificial Zoan,,,
401,Rydin,ライディーン,Raidīn,"Rydin (Former VIZ, simulcast);Raideen (VIZ)",,Elbaf,836.0,866.0,Giant Warrior Pirates (former),Unknown,,,,,,November 14th,,
402,Quincy,クインシー,Kuinshī,Quincy,,,1066.0,1039.0,Kid Pirates,Unknown,,,,,,,,
403,Queen,"Ryu Ryu no Mi, Model: Brachiosaurus",Kuīn,Queen,Grand Line,Wano Country (Onigashima),910.0,920.0,Beasts Pirates; MADS (former),Alive,,612.0,XF,Dragon-Dragon Fruit,Ancient Zoan,July 13th,,"Dragon, Brachiosaurus"
404,Pururu,プルル,Pururu,Pururu,,,,1079.0,Bourgeois Pirates; Red Hair Pirates,Alive,,,,,,,,
405,Queen Mama Chanter,クイーン・ママ・シャンテ号,Kuīn Mama Shante-gō,Queen Mama Chanter,,,,,Big Mom Pirates,,,,,,,,,
406,Pacifista,パシフィスタ,Pashifisuta,Pacifista,,,,,Marines,,,,,,,,,
407,Pythagoras,知（ピタゴラス）,Pitagorasu,Pythagoras,,Egghead,1095.0,1065.0,Marines (SSG),Deceased,,,,,,,,
408,Puppu,プップー,Puppū,Puppu,,,92.0,155.0,Pirate crew,Unknown,,,,,,,,
409,Pudosu,プドス,Pudosu,,,,916.0,924.0,,Alive,,,,,,,,
410,Purinpurin,プリンプリン,Purinpurin,Purinpurin,East Blue,,34.0,75.0,"Marines, Marine 77th Branch",Deceased,,,,,,May 16th,,
411,Prince Grus,Gunyo Gunyo no Mi,Purinsu Gurusu,Prince Grus,,,1090.0,966.0,Marines (SWORD),Alive,,,,Glorp-Glorp Fruit,Unknown,,,Squish
412,Pound,パウンド,Paundo,Pound,Grand Line (New World),,792.0,831.0,Charlotte Family (Former)‡,Alive,,731.0,F,,,August 21st,,
413,Potsun,ポツーン,Potsūn,Potsun,,,130.0,217.0,,Alive,,,,,,,,
414,Portgaz D. Rouge,ポートガス・D（ディー）・ルージュ,Pōtogasu Dī Rūju,Portgaz D. Rouge,,,,550.0,Gol D. Roger; Portgas D. Ace,Deceased,,,,,,June 10th,,
415,Prometheus,プロメテウス,Purometeusu,Prometheus,Grand Line,Whole Cake Island,786.0,827.0,Big Mom Pirates; Rocks Pirates (former),Unknown,,239.0,,,,July 19th,,
416,Portgas D. Ace,Mera Mera no Mi,Pōtogasu Dī Ēsu,"Portgas D. Ace (uncut dub);Portgaz D. Ace (VIZ, Funimation subs);Portgaz D. Trace (edited dub)",South Blue (Baterilla),Baterilla (former);Mt. Colubo (former),91.0,154.0,Whitebeard Pirates;Spade Pirates (former);Dadan Family (former);Impel Down (former),Deceased,20.0,185.0,S,Flame-Flame Fruit,Logia,January 1st,,Sound of fire burning
417,Potofu,ポトフ,Potofu,,,,889.0,908.0,Levely,Alive,,,,,,,,
418,Poro,ポロ,Poro,Poro,East Blue (Orange Town),Orange Town,8.0,14.0,Orange Town,Alive,,,,,,May 11th,,
419,Porchemy,ポルシェーミ,Porushēmi,Porchemy,East Blue (Goa Kingdom),,494.0,583.0,Bluejam Pirates,Deceased,25.0,320.0,X,,,April 3rd,,
420,Porche,ポルチェ,Poruche,Porche,,,207.0,305.0,Foxy Pirates,Alive,,,,,,November 16th,,
421,Poppy,ポピー,Popī,Poppy,Calm Belt (Amazon Lily),Amazon Lily,409.0,515.0,Kuja,Alive,,,,,,May 17th,,
422,Poppoko,ポッポコ,Poppoko,Poppoko,East Blue,Goat Island,1.0,2.0,Alvida Pirates,Alive,,,,,,September 2nd,,
423,Pomsky,ポンスキー,Ponsukī,Pomsky,,,,1089.0,Marines,Alive,,,,,,,,
424,Poker,ポーカー,Pōkā,Poker,,,982.0,997.0,"Beasts Pirates, Tama",Alive,,,,Rattlesnake SMILE,Artificial Zoan,,,
425,Saint Pluming,プルミング聖,Purumingu Sei,Saint Pluming,,Mary Geoise,,1083.0,World Government,Alive,,,,,,,,
426,Pisaro,ピサロ,Pisaro,Pisaro,"Grand Line (Ryugu Kingdom, Fish-Man Island)","Fish-Man District (former),  Arlong Park (former)",32.0,72.0,Arlong Pirates; Sun Pirates (former),Alive,,,,,,August 14th,,
427,Piiman,ピーマン,Pīman,PepperPieman (Odex),East Blue (Gecko Islands),Syrup Village,9.0,23.0,Usopp Pirates (disbanded),Alive,,120.0,XF,,,April 9th,,
428,Pinky,ピンキー,Pinkī,Pinky,East Blue,,4.0,8.0,,Alive,,,,,,September 29th,,
429,Pierre,Uma Uma no Mi,Piēru,Pierre,,,153.0,237.0,Gan Fall,Alive,,,,Horse-Horse Fruit,Zoan,October 8th,,Horse
430,Pump,ポンプ,Ponpu,Pump,,,1054.0,1029.0,Kid Pirates,Unknown,,,,,,,,
431,Pickles,ピクルス,Pikurusu,Pickles,,,210.0,309.0,Foxy Pirates; Groggy Monsters,Alive,,,,,,January 9th,,
432,Pike,パイク,Paiku,Pike,,,572.0,652.0,Marines; G-5,Alive,,,,,,,,
433,Pica,Ishi Ishi no Mi,Pīka,Pica,North Blue,Downs (former)Spider Miles (former)Dressrosa (former),629.0,700.0,Donquixote Pirates,Alive,,470.0,X,Stone-Stone Fruit,Paramecia,December 14th,,Stone
434,Perona,Horo Horo no Mi,Perōna,Perona,West Blue,Kuraigana Island (former);Thriller Bark (former),338.0,443.0,Dracule Mihawk;Thriller Bark Pirates (Mysterious Four),Alive,,160.0,XF,Hollow-Hollow Fruit,Paramecia,June 7th,,Hollow
435,Peterman,ピーターマン,Pītāman,Peterman,,,393.0,499.0,Hound Pets,Alive,,,,,,January 4th,,
436,Peppoko,ペッポコ,Peppoko,Peppoko,East Blue,Goat Island,1.0,2.0,Alvida Pirates,Alive,,,,,,September 2nd,,
437,Penguin,ペンギン,Pengin,Penguin,North Blue,Swallow Island (former),392.0,498.0,Heart Pirates,Unknown,,,X,,,April 25th (World Penguin Day),,
438,Peetamu,ピータームー,Pītāmū,Peetamu,,,959.0,966.0,Roger Pirates,Unknown,,,,,,,,
439,Pellini,ペリーニ,Perīni,Pellini,,,641.0,711.0,Tontatta KingdomTontatta PiratesStraw Hat Grand Fleet,Alive,,,,,,,,
440,Pekoms,Kame Kame no Mi,Pekomuzu,Pekoms,,Zou (former),570.0,651.0,Big Mom Pirates; Nox Pirates (former),Unknown,,232.0,S,Turtle-Turtle Fruit,Zoan,April 11th,,Turtle
441,Pell,"Tori Tori no Mi, Model: Falcon",Peru,Pell,Grand Line (Arabasta Kingdom),,91.0,155.0,Arabasta Kingdom,Alive,,189.0,X,Tweet-Tweet Fruit Falcon Type,Zoan,August 23rd,,Bird
442,Pekkori,ペッコリ,Pekkori,Pekkori,,,421.0,524.0,Harahettania,Alive,,,,,,,,
443,Peepley Lulu,ピープリー･ルル,Pīpurī Ruru,Peepley Lulu (Viz)Peeply Lulu (Funimation),Grand Line (Water 7),Water 7,230.0,323.0,Galley-La Company,Alive,,206.0,S,,,January 2nd,,
444,Pearl,パール,Pāru,Pearl,East Blue,,25.0,54.0,Krieg Pirates,Alive,,239.0,F,,,July 11th,,
445,Pavlik,パブリク,Paburiku,Pavlik,,,477.0,553.0,Whitebeard Pirates,Alive,,,,,,,,
446,Peachbeard,桃ひげ,Momohige,Peachbeard,,,880.0,904.0,Peachbeard Pirates; Blackbeard Pirates,Alive,,,,,,March 27th,,
447,Pedro,ペドロ,Pedoro,Pedro,Grand Line (Mokomo Dukedom),Zou (Whale Forest),754.0,805.0,Mokomo Dukedom; Guardians;; Ninja-Pirate-Mink-Samurai Alliance; Nox Expedition Party\Pirates (former),Deceased,32.0,233.0,F,,,June 16th,,
448,Paulie,パウリー,Paurī,"Paulie (FUNimation, Viz);Pauly (Unlimited Adventure)",Grand Line (Water 7),Water 7,230.0,323.0,Galley-La Company,Alive,,195.0,S,,,July 8th,,
449,Pasia,パシア,Pashia,Pasia (Viz);Pashia (Funimation),South Blue,,394.0,501.0,,Alive,,,,,,February 21st,,
450,Patty,パティ,Pati,Patty,East Blue,,21.0,44.0,Baratie,Alive,,204.0,X,,,March 12th,Brashaad Mayweather,
451,Papas,パパス,Papasu,Papas,,,1066.0,1039.0,Kid Pirates,Unknown,,,,,,,,
452,Pappagu,パッパグ,Pappagu,Pappagu;Pappag (WT100),"Grand Line (Ryugu Kingdom, Fish-Man Island)",Gyoverly Hills,385.0,195.0,Criminal brand; Takoyaki 8,Alive,,50.0,XF,,,September 21st,,
453,Pansy,パンジー,Panjī,Pansy,Calm Belt (Amazon Lily),Amazon Lily,409.0,515.0,Kuja,Alive,,,,,,July 20th,,
454,Justy Tinbread,パンクータ・ダケヤン,Pankūta Dakeyan,Justy Tinbread,Grand Line,,422.0,525.0,,Alive,,,,,,June 29th,,
455,Pandora,パンドラ,Pandora,Pandora,,,837.0,867.0,Carmel,Unknown,,,,,,,,
456,Pandawomanmi,パンダウーマン美,Pandaūmanmi,Pandawomanmi,Calm Belt (Amazon Lily),Amazon Lily,409.0,517.0,Easter egg,Alive,,,,,,February 29th,,
457,Pandaman,パンダマン,Pandaman,Panda ManPandaman (WT100),Tibet,"Panda Island (パンダ島, Panda-jima?)",16.0,44.0,,Alive,,200.0,,,,February 29th,,
458,Papaneel,パパニール,Papanīru,Papaneel,Grand Line (Ryugu Kingdom; Fish-Man Island),Ryugu Kingdom,540.0,621.0,,Alive,,,,,,,,
459,Page One,"Ryu Ryu no Mi, Model: Spinosaurus",Pējiwan,Page One,Grand Line,Wano Country,923.0,929.0,Beasts Pirates (Tobiroppo),Alive,,171.0,X,Dragon-Dragon Fruit,Ancient Zoan,February 10th,,"Dragon, Spinosaurus"
460,Outlook III,アウトルック3世,Autorukku Sansei,Outlook III,,,496.0,585.0,Goa Kingdom (High Town),Alive,,,,,,,,
461,Pagaya,パガヤ,Pagaya,Pagaya,Grand Line (Skypiea),,154.0,239.0,,Alive,,179.0,F,,,August 17th,,
462,Ossamond,オッサモンド,Ossamondo,Ossamond,,,461.0,552.0,Spade Pirates,Alive,,,,,,,,
463,Otohime,オトヒメ,Otohime,Otohime,Grand Line (Ryugu Kingdom),,539.0,621.0,Neptune Family; Ryugu Kingdom,Deceased,36.0,224.0,S,,,January 10th,,
464,Palms,パームス,Pāmusu,Palms,,,470.0,553.0,His own crew; Ally of the Whitebeard Pirates,Alive,,,,,,March 11th,,
465,Olombus,オオロンブス,Ōronbusu,Olombus (Former); Orlumbus,Grand Line (Standing Kingdom),,632.0,704.0,Yonta Maria Grand Fleet; Straw Hat Grand Fleet; Standing Kingdom,Alive,,480.0,X,,,June 23rd,,
466,Oran,オラン,Oran,Oran,,,275.0,391.0,,Deceased,33.0,,,,,,,
467,Onigumo,オニグモ,Onigumo,Onigumo,,,302.0,420.0,Marines,Alive,,,,,,February 8th,,
468,Ohmasa,大マサ,Ōmasa,Ohmasa,,,946.0,952.0,,Alive,,,,,,,,
469,Onimaru,"Hito Hito no Mi, Model: Onyudo",Onimaru,Onimaru,,Wano Country (Ringo),932.0,936.0,Shimotsuki Family (Shimotsuki Ushimaru); Kozuki Family (Kawamatsu),Alive,,428.0,X,,Mythical Zoan,November 19th,,"Human, Big Monk"
470,Oliva,オリバ,Oriba,Oliva,,Port Chibaralta Island (former),,,Whitebeard Pirates (former),Alive,,,,,,,,
471,Crone Oli,オリ婆,Ori-bā,Crone Oli,,,,1076.0,Red Hair Pirates,Alive,,,,,,,,
472,Okame,おかめ,Okame,Okame,,Arabasta,100.0,163.0,Suna Suna Clan (former); Rebel Army,Alive,,,,,,,,
473,Oimo,オイモ,Oimo,Oimo,Grand Line (Elbaf),ElbafEnies Lobby (former)Water 7 (former),265.0,377.0,World Government (defected); Giant Warrior Pirates,Alive,,1600.0,F,,,January 6th,,
474,Ryce,オコメ,Okome,Ryce,,,146.0,224.0,Hokahoka Pirates,Alive,,,,,,,,
475,Oidē,オイデー,Oidē,,,Sphinx,890.0,909.0,,Alive,,,,,,,,
476,Ohm,オーム,Ōmu,Ohm,Sky Islands (Birka),,155.0,241.0,God's Army (former),Unknown,,189.0,XF,,,March 25th,,
477,Wang Zhi,王直,Ōchoku,Wang Zhi,,Hachinosu (formerly),958.0,957.0,Rocks Pirates (former),Unknown,,,,,,,,
478,Octopako,オクトパ子,Okutopako,Octopako,Grand Line (Ryugu Kingdom; Fish-Man Island),Gyoverly Hills,531.0,203.0,,Alive,,,,,,August 5th,,
479,Oars,オーズ,Ōzu,Oars,North Blue,,350.0,456.0,Thriller Bark Pirates,Deceased,159.0,,F,,,October 4th,,
480,Calicoach,猫車（にゃしゃ）,Nyasha,Calicoach,,Germa Kingdom,806.0,842.0,,Alive,,,,,,May 28th,,
481,Snott Mee,ヌギレ・ヤイヌ,Nugire Yainu,Snott Mee,East Blue,,10.0,37.0,Black Cat Pirates,Deceased,,,,,,July 18th,,
482,Nubon,ヌーボン,Nūbon,Nubon,,,641.0,711.0,Tontatta Kingdom; Tonta Corps; Straw Hat Grand Fleet,Alive,,,,,,,,
483,Nosugāru,ノスガール,Nosugāru,,,,,579.0,Ally of the Whitebeard Pirates,Alive,,,,,,,,
484,Noriko,のり子,Noriko,,,"Ebisu Town, Wano Country",937.0,940.0,,Alive,,,,,,,,
485,Nola,ノラ,Nora,Nola,,,168.0,255.0,Shandia; Wagomuland,Alive,,,,,,March 10th,,
486,Stray Fox,のらギツネ,Nora-Gitsune,Stray Fox,East Blue,,518.0,598.0,Fake Straw Hat Crew,Alive,,103.0,,,,April 10th,,
487,Nure-Onna,濡れ女,Nure-Onna,Nure-Onna,,,1013.0,998.0,Beasts Pirates,Alive,,,,Hognose Snake SMILE,Artificial Zoan,,,
488,Nojiko,ノジコ,Nojiko,Nojiko,East Blue,Cocoyasi Village; Oykot Kingdom (former),31.0,70.0,,Alive,,170.0,S,,,July 25th,Chioma UmealaElihle Modise (young),
489,Aristocroc,貴族ワニ,Kizoku Wani,Aristocroc,,Whole Cake Island,791.0,831.0,Big Mom Pirates,Alive,,,,,,October 17th,,
490,Nitro,ニトロ,Nitoro,Nitro,,,571.0,651.0,Big Mom Pirates; Cacao Island,Alive,,,,,,,,
491,Ninth,ナインス,Nainsu,Ninth,,,,558.0,Ally of the Whitebeard Pirates,Alive,,,,,,,,
492,Nika,ニカ,Nika,Nika,,,1040.0,1018.0,,Unknown,,,,,,,,
493,Ninjin,にんじん,Ninjin,CarrotNinjin (Odex),East Blue (Gecko Islands),Syrup Village,9.0,23.0,Usopp Pirates (disbanded),Alive,,127.0,X,,,February 2nd,,
494,Nokotti,ノコッティ,Nokotti,,,,932.0,936.0,Beasts Pirates,Alive,,,,,,,,
495,Nico Robin,Hana Hana no Mi,Niko Robin,Nico Robin,West Blue,"Ohara (former);Arabasta (former);Baltigo (former, temporary)",67.0,114.0,"Straw Hat Pirates;Straw Hat Grand Fleet;Baroque Works (defected);Foxy Pirates (filler, temporary);Ohara Archaeologists (former);Revolutionary Army (former, temporarily);Ninja-Pirate-Mink-Samurai Alliance (disbanded)",Alive,,188.0,S,Hana-Hana Fruit,Paramecia,February 6th,,Flower; Bloom
496,Abscondo,ニゲラッタ,Nigeratta,Abscondo,,,278.0,398.0,,Alive,,,,,,,,
497,Nico Olvia,ニコ･オルビア,Niko Orubia,Nico Olvia,West Blue (Ohara),,275.0,392.0,Ohara Archaeologists,Deceased,33.0,186.0,S,,,February 6th,,
498,Nero,ネロ,Nero,Nero,West Blue,,257.0,367.0,CP9 (former),Unknown,,202.0,X,,,January 26th,,
499,St. Imu,イム聖,Imu Sei,St. Imu,,Mary Geoise,,1085.0,Great Kingdom (World Government's archenemy); World Government (First Twenty),Unknown,,,,,,,,
500,Nezumi,ネズミ,Nezumi,Nezumi,East Blue,,31.0,69.0,Marines; Marine 16th Branch,Alive,,182.0,XF,,,December 12th,Rory Acton-Burnell,
501,Nerine,ネリネ,Nerine,Nerine,Calm Belt (Amazon Lily),Amazon Lily,408.0,514.0,Kuja,Alive,,,,,,December 15th,,
502,Neptune,ネプチューン,Nepuchūn,Neptune,Grand Line (Ryugu Kingdom),,530.0,611.0,Neptune Family; Ryugu Kingdom,Alive,,1220.0,X,,,July 3rd,,
503,Brush-Brush Fruit,フデフデの実,,Brush-Brush Fruit,,,,,,,,,,,Paramecia,,,Brush
504,Nekomamushi,ネコマムシ,Nekomamushi,Cat ViperNekomamushi (WT100),Grand Line (Mokomo Dukedom),Zou (Whale Forest) (Former)Wano Country,756.0,809.0,Mokomo Dukedom; Guardians; Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance (disbanded); Nine Red Scabbards; Roger Pirates (former); Whitebeard Pirates (former),Alive,,522.0,S,,,November 22nd,,
505,Maria Onion Bear,ネギ熊まりあ,Negikuma Maria,Maria Onion Bear (VIZ);Mrs. Negi (Funimation)Big Mama (4Kids),Grand Line (Drum Island),Bighorn,80.0,133.0,,Alive,,,,,,November 14th,,
506,Negī,ネギー,Negī,,,Gingaball Kingdom,884.0,906.0,Levely,Alive,,,,,,,,
507,Nefeltari D. Lily,ネフェルタリ・D（ディー）・リリィ,Neferutari Dī Rirī,Nefeltari D. Lily,Grand Line (Arabasta Kingdom),Arabasta Kingdom,,1084.0,Arabasta Kingdom; Nefertari Family; World Government,Deceased,,,,,,,,
508,Nefeltari Titi,ネフェルタリ・ティティ,Neferutari Titi,Nefeltari Titi,,,129.0,215.0,Arabasta Kingdom,Deceased,,,,,,,,
509,Nefeltari Vivi,ネフェルタリ・ビビ,Neferutari Bibi,"Nefeltari Vivi (VIZ, 4Kids, Funimation subs, Odex, Movie 8 dub);Vivi Nefertari (Funimation dub);Nefertari Vivi (Unlimited Adventure)",Grand Line (Arabasta Kingdom),Arabasta Kingdom (Alubarna),62.0,103.0,"Arabasta Kingdom (Nefertari Family); Straw Hat Pirates (former, temporary); Baroque Works (double agent); Suna Suna Clan (former)",Alive,,169.0,F,,,February 2nd,,
510,Nefeltari Cobra,ネフェルタリ・コブラ,Neferutari Kobura,"Nefeltari Cobra (VIZ, Movie 8);Nefertari Cobra (Funimation);Nefeltari Nebra (4Kids)",Grand Line (Arabasta Kingdom),"Alubarna, Arabasta",91.0,142.0,Arabasta Kingdom,Deceased,,182.0,F,,,February 13th,,
511,Nay Mingheim,ナヅ・ケタガーリ,Nazu Ketagāri,Nay Mingheim,,,,,Marines,Alive,,,,,,,,
512,Nashi,ナシ,Nashi,,,Ringo Kingdom,884.0,906.0,Levely,Alive,,,,,,,,
513,Nangi,七鬼（ナンギ）,Nangi,Nangi,,Onigashima,997.0,988.0,Beasts Pirates (Numbers),Alive,,,,,,,,
514,Namule,ナミュール,Namyūru,Namule,Grand Line,,461.0,552.0,Whitebeard Pirates,Alive,,,,,,July 6th,,
515,Nami,ナミ,Nami,Nami,East Blue (Conomi Islands),"Cocoyasi Village (former);Weatheria (former, temporary)",1.0,8.0,"Straw Hat Pirates;Straw Hat Grand Fleet;Arlong Pirates (defected);Ganzack Pirates (movie, former);Golden Lion Pirates (movie, former);Ninja-Pirate-Mink-Samurai Alliance (disbanded)",Alive,,169.0,X,,,July 3rd,Emily Rudd;Lily Fisher (young);Sophie Ellenbogen (toddler),
516,Nako,ナコー,Nakō,Nako,East Blue (Conomi Islands),Cocoyasi Village,32.0,77.0,,Alive,,,,,,July 1st,,
517,Natto,ナットー,Nattō,Natto,,Arabasta,100.0,164.0,Suna Suna Clan,Alive,,,,,,,,
518,Mjure,ミュレ,Myure,Mjure,,,146.0,223.0,Bellamy Pirates (former),Unknown,,,,,,,,
519,Napoleon,ナポレオン,Naporeon,Napoleon,,Whole Cake Island,571.0,651.0,Big Mom Pirates; Rocks Pirates (former),Unknown,,,,,,December 2nd,,
520,Mummy,マミー,Mamī,Mummy,,,652.0,706.0,,Alive,,,,,,,,
521,Muegren,ミュグレン大佐,Myuguren Taisa,Muegren,,,966.0,966.0,Roger Pirates,Unknown,,,,,,,,
522,Sawyer Wayback,ムッカシミ・タワー,Mukkashimi Tawā,Sawyer Wayback,,,637.0,707.0,,Alive,,,,,,,,
523,Notta Magician,ムチャナー,Muchanā,Notta Magician,,,437.0,536.0,Impel Down,Alive,,,,,,,,
524,Mameemee,マミーミー,Mamīmī,Mameemee,East Blue (Conomi Islands),Cocoyasi Village,35.0,79.0,World Government Orphanage,Alive,,,,,,November 21st,,
525,Mr. Shimizu,Mr.シミズ,Misutā Shimizu,Mr. Shimizu,Grand Line,Whisky Peak,64.0,107.0,Baroque Works,Alive,,,,,,December 11th,,
526,Mr. Momora,Mr.（ミスター） モモラ,Misutā Momora,Mr. Momora,,,966.0,966.0,Roger Pirates,Unknown,,,,,,,,
527,Mr. Melow,Mr. メロウ,Misutā Merō,Mr. Melow,,,95.0,159.0,Baroque Works (Billions),Alive,,,,,,,,
528,Mr. Love,Mr.ラブ,Misutā Rabu,Mr. Love,,,125.0,206.0,Baroque Works (Billions)[citation needed];Rebel Army (ruse),Alive,,,,,,,,
529,Mr. Beans,ミスター・ビーンズ,Misutā Bīnzu,Mr. Beans,Grand Line,Whisky Peak,64.0,106.0,Baroque Works,Alive,,,,,,February 24th,,
530,Mr. 13,ミスター・サーティーン,Misutā Sātīn,Mr. 13,Grand Line,,63.0,105.0,Baroque Works (former),Alive,,,,,,May 17th,,
531,Mr. 11,Mr. 11（ミスター・イレブン）,Misutā Irebun,Mr. 11,Grand Line,,79.0,128.0,Baroque Works,Deceased,,,,,,November 21st,,
532,Mr. 10,Mr. 10（ミスター・テン）,Misutā Ten,Mr. 10,,,91.0,155.0,Baroque Works,Alive,,,,,,,,
533,Mr. 7,Mr. 7（ミスター・セブン）,Misutā Sebun,Mr. 7,,,124.0,205.0,Baroque Works,Alive,,,,,,,,
534,Mr. 12,Mr. 12（ミスター・トゥエルブ）,Misutā Tuerubu,Mr. 12,,,91.0,155.0,Baroque Works,Alive,,,,,,,,
535,Mr. 9,Mr. 9（ミスター・ナイン）,Misutā Nain,Mr. 9,Grand Line,,62.0,103.0,Baroque Works (former),Alive,,,,,,September 27th,,
536,Mr. 6,Mr. 6（ミスター・シックス）,Misutā Shikkusu,Mr. 6,,,91.0,155.0,Baroque Works,Alive,,,,,,,,
537,Moyle,モイル,Moiru,Moyle,,Upper Yard; Angel Island (former),178.0,272.0,Divine Squad,Unknown,,,,,,,,
538,Mozambia,モザンビア,Mozanbia,Mozambia,,,151.0,234.0,Marines,Alive,,,,,,,,
539,Mountain Ricky,マウンテン・リッキー,Maunten Rikkī,Mountain Ricky,,,217.0,313.0,Foxy Pirates,Alive,,,,,,,,
540,Mounbleten,マウンブルテン,Maunburuten,Mounbleten,East Blue,,517.0,598.0,Fake Straw Hat Crew,Unknown,,294.0,XF,,,January 9th,,
541,Mr. Motzel,モッツェルおじさん,Mottseru Ojisan,Mr. Motzel,East Blue,,20.0,43.0,,Alive,,,,,,September 7th,David Muller,
